,HBW,HTT,MMIPS,MET,MBW,MTT,RMIPS,RET,RBW,RTT,BBW,BTT,TT
1975,4,1,4,4,4,1,2,4,1,4,1,1,3
1976,4,1,4,4,4,1,1,1,2,1,4,1,2
1977,4,1,4,4,1,3,3,4,1,4,1,4,4
1978,4,1,4,4,1,3,1,1,1,3,1,4,3
1979,4,1,4,4,1,3,3,4,1,3,1,4,3
1980,4,1,4,4,1,3,1,1,1,3,1,4,2
1981,4,1,4,4,1,3,4,4,1,4,1,4,4
1982,4,1,4,4,1,3,1,1,4,1,1,4,2
1983,4,1,4,4,1,3,3,4,1,4,1,4,4
1984,4,1,4,4,1,3,1,1,4,1,1,4,2
1985,1,4,4,4,1,3,2,4,1,4,1,1,4
1986,1,4,4,4,1,3,1,1,2,1,4,1,2
1987,1,4,4,4,1,2,3,4,1,4,1,4,4
1988,1,4,4,4,1,3,3,4,1,3,1,4,4
1989,1,4,4,4,1,3,1,1,1,3,1,4,3
1990,1,4,4,4,1,3,4,4,1,4,1,4,4
1991,1,4,4,4,1,3,1,1,4,1,1,4,3
1992,1,4,4,4,1,3,3,4,1,4,1,4,4
1993,1,4,4,4,1,3,1,1,4,1,1,4,3
1994,1,4,4,4,1,3,2,4,1,4,1,1,4
1995,1,4,4,4,1,3,1,1,2,1,4,1,2
1996,1,4,4,4,1,3,3,4,1,4,1,4,4
1997,1,4,4,4,1,3,1,1,1,3,1,4,3
1998,1,4,4,4,1,2,3,4,1,3,1,4,4
1999,1,4,4,4,1,2,1,1,1,3,1,4,3
2000,1,4,4,4,4,1,4,4,1,4,1,4,4
2001,1,4,4,4,4,1,1,1,4,1,1,4,3
2002,1,4,4,4,1,2,3,4,1,4,1,4,4
2003,1,4,4,4,1,2,1,1,4,1,1,4,3
2004,1,4,4,4,1,3,2,4,1,4,1,1,4
2005,1,4,4,4,1,3,1,1,2,1,4,1,2
2006,1,4,4,4,1,3,3,4,1,4,1,4,4
2007,1,4,4,4,1,3,1,1,1,3,1,4,3
2008,1,4,4,4,1,2,3,4,1,3,1,4,4
2009,1,4,4,4,1,2,1,1,1,3,1,4,3
2010,1,4,4,4,1,2,4,4,1,4,1,4,4
2011,1,4,4,4,1,2,1,1,4,1,1,4,3
2012,1,4,4,4,1,1,3,4,1,4,1,4,4
2013,1,4,4,4,1,1,1,1,4,1,1,4,3
2014,4,1,4,4,4,1,2,4,1,4,1,1,3
2015,4,1,4,4,4,1,1,1,2,1,4,1,2
2016,4,1,4,4,1,3,3,4,1,4,1,4,4
2017,4,1,4,4,1,3,1,1,1,3,1,4,3
2018,4,1,4,4,1,3,3,4,1,3,1,4,3
2019,4,1,4,4,1,3,1,1,1,3,1,4,2
2020,4,1,4,4,1,3,4,4,1,4,1,4,4
2021,4,1,4,4,1,3,1,1,4,1,1,4,2
2022,4,1,4,4,1,3,3,4,1,4,1,4,4
2023,4,1,4,4,1,3,1,1,4,1,1,4,2
2024,4,1,4,4,4,1,2,4,1,4,1,1,3
2025,4,1,4,4,4,1,1,1,2,1,4,1,2
2026,4,1,4,4,1,3,3,4,1,4,1,4,4
2027,4,1,4,4,1,3,1,1,1,3,1,4,3
2028,4,1,4,4,1,3,3,4,1,3,1,4,3
2029,4,1,4,4,1,3,1,1,1,3,1,4,3
2030,4,1,4,4,1,3,4,4,1,4,1,4,4
2031,4,1,4,4,1,3,1,1,4,1,1,4,2
2032,4,1,4,4,1,3,3,4,1,4,1,4,4
2033,4,1,4,4,1,3,1,1,4,1,1,4,2
2034,4,1,4,4,4,1,2,4,1,4,1,1,3
